"","Record","Sale_amount","Sale_date","Beds","Baths","Sqft_home","Sqft_lot","Type","Build_year","Town","University","Type2"
"1212",1212,205000,42515,3,2.5,3190,19166.4,3,1965,6,2,3
"1213",1213,196900,42493,3,2.5,2324,20908.8,3,2002,6,2,3
"1214",1214,98404,42459,3,1,1818,7405,3,1917,6,2,3
"1215",1215,99400,42474,3,2,2000,8580,3,1900,6,2,3
"1216",1216,34145,42451,3,1,1001,3300,3,1930,6,2,3
"1217",1217,58510,42429,3,1,1800,5750,3,1993,6,2,3
"1218",1218,78000,42509,3,1,1472,10500,3,1900,6,2,3
"1219",1219,133900,42430,3,2,1824,7500,3,1840,6,2,3
"1220",1220,1e+05,42503,3,1,1435,29185.2,3,1980,6,2,3
"1221",1221,59004,42418,3,1,1152,4791,3,1932,6,2,3
"1222",1222,73750,42401,3,1,1056,7150,3,1940,6,2,3
"1223",1223,77320,42459,4,2,1714,6500,3,1950,6,2,3
"1224",1224,105000,42457,3,2,1696,13068,3,1960,6,2,3
"1225",1225,60000,42411,4,2,2123,7405,3,1940,6,2,3
"1226",1226,39500,42509,2,1,1188,3550,3,1900,6,2,3
"1227",1227,42000,42409,2,1,748,7000,3,1925,6,2,3
"1228",1228,82000,42496,6,2,2300,6800,1,1920,6,2,1
"1229",1229,52000,42464,4,2,1432,5750,3,1920,6,2,3
"1230",1230,67021,42409,3,2,1536,5650,3,1917,6,2,3
"1231",1231,81900,42513,3,1.5,1144,5650,3,1940,6,2,3
"1232",1232,111702,42528,3,2,1757,6250,3,1900,6,2,3
"1233",1233,70000,42389,3,1,1274,6250,3,1953,6,2,3
"1234",1234,59900,42460,4,2,1761,7546,2,1900,6,2,2
"1235",1235,115000,42495,3,2,1284,5152,3,1955,6,2,3
"1236",1236,89000,42517,4,2,2217,4500,3,1941,6,2,3
"1237",1237,28000,42534,2,1,990,10366,3,1900,6,2,3
"1238",1238,54680,42510,4,1.5,1848,4160,3,1900,6,2,3
"1239",1239,68000,42549,4,2,2100,5663,3,1900,6,2,3
"1240",1240,42000,42475,3,2,1500,6098,3,1917,6,2,3
"1241",1241,84800,42527,3,1,1287,4558,3,1914,6,2,3
"1242",1242,65000,42493,4,1,1470,10350,3,1945,6,2,3
"1243",1243,30500,42465,2,1,1125,5000,3,1930,6,2,3
"1244",1244,348500,42488,4,3,2550,11761.2,3,1987,7,49,3
"1245",1245,234000,42551,4,3,2105,43995.6,3,1995,7,49,3
"1246",1246,210000,42415,3,2,2088,22651.2,3,1973,7,49,3
"1247",1247,359000,42521,4,3,2732,226512,3,1988,7,49,3
"1248",1248,242000,42550,3,2,1705,39204,3,1971,7,49,3
"1249",1249,265000,42531,5,3,2532,16552.8,3,1970,7,49,3
"1250",1250,269000,42451,3,2,1704,13939.2,3,1987,7,49,3
"1251",1251,429900,42415,4,2.5,2920,24829.2,3,1998,7,49,3
"1252",1252,289900,42487,4,2.5,2376,12632.4,3,1994,7,49,3
"1253",1253,334000,42531,5,4,3087,8276,3,2004,7,49,3
"1254",1254,257500,42461,4,3,1912,10018,3,2004,7,49,3
"1255",1255,394750,42400,3,3,3275,435600,3,1976,7,49,3
"1256",1256,159000,42397,4,2.5,1512,2178,3,1996,7,49,3
"1257",1257,165000,42489,4,2.5,1512,2047,3,1997,7,49,3
"1258",1258,348000,42556,4,3,2462,7841,3,2004,7,49,3
"1259",1259,179000,42473,3,2,1072,10890,3,1900,7,49,3
"1260",1260,667000,42503,4,4,4504,635976,3,1991,7,49,3
"1261",1261,2e+05,42513,3,2,1287,2614,3,2001,7,49,3
"1262",1262,2e+05,42556,3,1,1100,27442.8,3,1955,7,49,3
"1263",1263,305000,42523,3,3,1840,8625,3,2002,7,49,3
"1264",1264,209090,42509,3,2,1326,13068,3,1966,7,49,3
"1265",1265,238000,42534,4,4,2614,13939.2,3,1968,7,49,3
"1266",1266,261000,42545,4,3,2014,10454,3,1973,7,49,3
"1267",1267,259000,42551,3,2,1856,11761.2,3,1975,7,49,3
"1268",1268,190000,42556,4,2,1894,47044.8,3,1963,7,49,3
"1269",1269,232500,42524,3,2,1677,21780,3,1978,7,49,3
"1270",1270,425000,42538,5,4,3686,23522.4,3,1961,7,49,3
"1271",1271,275000,42510,4,2.5,2248,14810.4,3,1937,7,49,3
"1272",1272,258250,42536,4,4,2933,21780,3,1969,7,49,3
"1273",1273,420000,42510,3,3,2560,14810.4,3,1995,7,49,3
"1274",1274,370000,42475,4,3,4038,28314,3,1967,7,49,3
"1275",1275,282000,42487,4,3,2300,23958,3,1985,7,49,3
"1276",1276,407000,42445,4,3,2576,19166.4,3,1995,7,49,3
"1277",1277,182000,42447,2,3,2304,68389.2,3,2011,7,49,3
"1278",1278,265000,42494,3,2.5,2135,22215.6,3,1997,7,49,3
"1279",1279,282950,42472,4,2,2274,23086.8,3,1978,7,49,3
"1280",1280,330000,42509,3,2,2140,23086.8,3,1979,7,49,3
"1281",1281,180000,42489,3,2,1800,217800,3,1984,7,49,3
"1282",1282,251500,42482,4,3,2230,7013,3,2004,7,49,3
"1283",1283,465000,42517,4,3.5,2750,16552.8,3,2009,7,49,3
"1284",1284,407000,42509,4,4,2859,5968,3,2009,7,49,3
"1285",1285,150000,42467,3,3,1280,1306,3,1972,7,49,3
"1286",1286,215000,42487,3,3,1480,40946.4,3,1996,7,49,3
"1287",1287,205000,42485,3,2.5,1716,10018,3,1990,7,49,3
"1288",1288,240000,42545,3,2,1678,452588.4,3,1903,7,49,3
"1289",1289,85989,42430,3,1,1804,435600,3,1920,7,49,3
"1290",1290,2e+05,42489,3,2,1792,217800,3,2009,7,49,3
"1291",1291,268000,42494,5,2.5,3196,87120,3,1994,7,49,3
"1292",1292,182000,42522,4,2,1880,33976.8,3,1975,7,49,3
"1293",1293,332211,42457,3,2.5,1756,10324,3,2011,7,49,3
"1294",1294,270000,42523,3,2,1705,25264.8,3,1994,7,49,3
"1295",1295,315000,42488,3,3,1842,9583,3,2011,7,49,3
"1296",1296,398800,42534,3,2.5,2533,87555.6,3,1995,7,49,3
"1297",1297,545000,42428,5,4,3800,12196.8,3,2013,7,49,3
"1298",1298,255000,42542,4,3,2060,47916,3,1974,7,49,3
"1299",1299,312000,42451,5,3,2464,4356,3,2003,7,49,3
"1300",1300,185000,42428,3,3,1820,2178,3,1986,7,49,3
"1301",1301,286500,42551,4,2,1958,20037.6,3,1924,7,49,3
"1302",1302,167000,42480,2,2,1200,7405,3,1960,7,49,3
"1303",1303,205000,42490,3,2,1080,19166.4,3,1974,7,49,3
"1304",1304,247000,42447,3,3,1815,6969,3,2005,7,49,3
"1305",1305,129000,42489,3,1,2046,9600,3,1945,8,8,3
"1306",1306,181000,42475,5,3,2508,47044.8,3,1978,8,8,3
"1307",1307,199000,42524,2,3,2755,46609.2,3,1990,8,8,3
"1308",1308,135500,42488,3,2,1068,27878.4,3,1972,8,8,3
"1309",1309,160000,42517,4,3,1780,7936,3,1993,8,8,3
"1310",1310,166000,42474,4,3,2710,8667,3,1991,8,8,3
"1311",1311,215000,42446,4,3,2328,12632.4,3,1988,8,8,3
"1312",1312,288000,42487,4,4,4001,13068,3,1995,8,8,3
"1313",1313,210000,42521,3,3,2466,7392,3,1997,8,8,3
"1314",1314,215000,42536,4,5,3400,10798,3,1994,8,8,3
"1315",1315,195000,42564,4,2.5,3057,8102,3,1988,8,8,3
"1316",1316,185000,42529,4,3,2902,8250,3,1989,8,8,3
"1317",1317,180000,42499,4,3,2540,8223,3,1988,8,8,3
"1318",1318,180000,42521,4,3,3522,7771,3,1990,8,8,3
"1319",1319,315000,42458,4,3.5,3988,12632.4,3,1992,8,8,3
"1320",1320,198000,42461,4,2.5,3568,10890,3,1987,8,8,3
"1321",1321,250000,42482,4,3,3515,10890,3,1993,8,8,3
"1322",1322,230000,42552,5,3.5,3482,10798,3,1988,8,8,3
"1323",1323,338000,42468,4,4,4482,11325.6,3,2001,8,8,3
"1324",1324,248000,42506,2,2,1784,3698,3,2001,8,8,3
"1325",1325,212500,42445,4,2.5,3284,14810.4,3,1983,8,8,3
"1326",1326,410000,42439,6,3.5,4888,11325.6,3,2005,8,8,3
"1327",1327,168000,42437,3,3,2106,5884,3,1991,8,8,3
"1328",1328,164000,42430,4,3.5,2514,8816,3,1990,8,8,3
"1329",1329,117000,42473,3,3,1591,3275,3,1991,8,8,3
"1330",1330,155000,42507,3,3,2156,7949,3,1992,8,8,3
"1331",1331,178000,42482,5,3.5,3331,6181,3,1998,8,8,3
"1332",1332,168500,42479,3,2.5,1946,6298,3,1993,8,8,3
"1333",1333,104000,42452,3,2.5,1769,4290,3,1995,8,8,3
"1334",1334,133000,42499,3,2.5,2155,3885,3,1995,8,8,3
"1335",1335,145000,42426,2,2.5,1827,2800,3,1999,8,8,3
"1336",1336,119500,42459,3,3,1478,5850,3,1994,8,8,3
"1337",1337,144000,42515,3,2,1598,3777,3,1994,8,8,3
"1338",1338,157500,42551,3,3,1827,3023,3,2001,8,8,3
"1339",1339,137500,42461,3,3,2680,13503.6,3,2002,8,8,3
"1340",1340,137000,42474,3,2,2016,8600,3,1996,8,8,3
"1341",1341,139000,42537,3,2,1901,7677,3,1997,8,8,3
"1342",1342,83000,42509,2,1,898,7400,3,1900,8,8,3
"1343",1343,114000,42496,2,1,2026,7400,3,1900,8,8,3
"1344",1344,122500,42516,2,2,1896,5501,3,1910,8,8,3
"1345",1345,65000,42445,2,1,1500,7833,3,1910,8,8,3
"1346",1346,89900,42545,3,1,1990,8150,3,1933,8,8,3
"1347",1347,124500,42482,3,2,2574,5096,3,1910,8,8,3
"1348",1348,112500,42493,3,1,2120,8598,3,1925,8,8,3
"1349",1349,147000,42506,2,2,2430,8598,3,1925,8,8,3
"1350",1350,181500,42485,3,3,3031,5223,3,1920,8,8,3
"1351",1351,167000,42517,4,2,2042,6625,3,1925,8,8,3
"1352",1352,97500,42450,4,2,2323,5501,3,1902,8,8,3
"1353",1353,190000,42510,3,2.5,1926,9225,3,1914,8,8,3
"1354",1354,250000,42521,3,3,4284,19166.4,3,1970,8,8,3
"1355",1355,77000,42521,2,1,729,6216,3,1953,8,8,3
"1356",1356,88500,42499,2,1,1566,9308,3,1945,8,8,3
"1357",1357,78500,42451,2,1,1364,8006,3,1953,8,8,3
"1358",1358,47500,42534,2,1,816,4791,3,1953,8,8,3
"1359",1359,103900,42517,3,1,1916,11761.2,3,1953,8,8,3
"1360",1360,170000,42500,4,2.5,3482,15681.6,3,1962,8,8,3
"1361",1361,196000,42557,4,3.5,4113,11761.2,3,1985,8,8,3
"1362",1362,62500,42459,2,2,2092,9448,3,1956,8,8,3
"1363",1363,135000,42509,4,2,2828,11761.2,3,1959,8,8,3
"1364",1364,181500,42460,3,2,1795,10402,3,1997,8,8,3
"1365",1365,125000,42507,2,1,1360,10890,3,1962,8,8,3
"1366",1366,145000,42500,4,2,1800,5499,3,1978,8,8,3
"1367",1367,121000,42501,5,1.5,1920,5501,3,1978,8,8,3
"1368",1368,105000,42534,3,1.5,1060,5610,3,1977,8,8,3
"1369",1369,145000,42499,4,3,2516,12632.4,3,1965,8,8,3
"1370",1370,120000,42474,3,3,2666,10284,3,1960,8,8,3
"1371",1371,139900,42516,3,2,1852,12196.8,3,1967,8,8,3
"1372",1372,150000,42495,3,2,2856,12632.4,3,1961,8,8,3
"1373",1373,127500,42503,4,3,1870,10079,3,1968,8,8,3
"1374",1374,97000,42481,3,1,951,5700,3,1967,8,8,3
"1375",1375,145500,42500,5,2,2492,7748,3,1967,8,8,3
"1376",1376,130000,42461,3,2,1038,7749,3,1967,8,8,3
"1377",1377,113000,42496,4,1.5,1800,8125,3,1972,8,8,3
"1378",1378,117500,42493,3,1.5,1596,5510,3,1969,8,8,3
"1379",1379,114000,42429,5,2,1800,6299,3,1969,8,8,3
"1380",1380,66350,42515,3,1,1456,6599,3,1968,8,8,3
"1381",1381,77000,42438,3,1.5,1235,7501,3,1969,8,8,3
"1382",1382,70000,42482,3,1,1602,7200,3,1962,8,8,3
"1383",1383,90000,42495,4,1.5,1750,10010,3,1965,8,8,3
"1384",1384,89000,42460,3,1,975,6721,3,1965,8,8,3
"1385",1385,124000,42507,3,2,1321,8276,3,1977,8,8,3
"1386",1386,136500,42443,3,2.5,2490,8398,3,1969,8,8,3
"1387",1387,121166,42466,4,2,2330,6313,3,1977,8,8,3
"1388",1388,144000,42439,3,3,1562,3271,3,1997,8,8,3
"1389",1389,164000,42430,4,3,2886,7135,3,2001,8,8,3
"1390",1390,164000,42500,3,3,1751,4140,3,1997,8,8,3
"1391",1391,168000,42459,3,3,2034,5632,3,1997,8,8,3
"1392",1392,135000,42495,3,2.5,1908,3920,3,1993,8,8,3
"1393",1393,158000,42473,3,2.5,2032,7148,3,1998,8,8,3
"1394",1394,201500,42485,4,3.5,3514,12632.4,3,1998,8,8,3
"1395",1395,154000,42531,4,2.5,2503,7705,3,1995,8,8,3
"1396",1396,142500,42517,3,3,1873,7474,3,1995,8,8,3
"1397",1397,123000,42459,2,2,1440,3959,3,1992,8,8,3
"1398",1398,127500,42472,3,2,1640,3959,3,1992,8,8,3
"1399",1399,135000,42537,3,3,1960,8624,3,1986,8,8,3
"1400",1400,134000,42545,3,2.5,1983,7657,3,1988,8,8,3
"1401",1401,125500,42500,4,2,2596,10087,3,1985,8,8,3
"1402",1402,156000,42524,3,2,2088,10079,3,1978,8,8,3
"1403",1403,186500,42454,4,2.5,3486,8280,3,1993,8,8,3
"1404",1404,175000,42479,4,3,2970,8596,3,1994,8,8,3
"1405",1405,220000,42506,4,3.5,3645,11325.6,3,1994,8,8,3
"1406",1406,169500,42557,3,2.5,1716,8510,3,1995,8,8,3
"1407",1407,188000,42501,3,3,2916,12196.8,3,1995,8,8,3
"1408",1408,215000,42543,4,4,3046,10407,3,1992,8,8,3
"1409",1409,209100,42521,4,4,2972,9661,3,1995,8,8,3
"1410",1410,210000,42503,4,3,2712,7405,3,1999,8,8,3
"1411",1411,203500,42467,4,2.5,3246,7148,3,1996,8,8,3
"1412",1412,3e+05,42489,4,2.5,4134,12632.4,3,2000,8,8,3
"1413",1413,283000,42467,4,3,3302,9840,3,2004,8,8,3
"1414",1414,221000,42432,4,3.5,3400,10890,3,2002,8,8,3
"1415",1415,202000,42474,5,3,2345,8123,3,1997,8,8,3
"1416",1416,205000,42510,4,3.5,3583,8165,3,1994,8,8,3
"1417",1417,181000,42524,3,3,2040,10329,3,1991,8,8,3
"1418",1418,157000,42550,3,3,2222,5719,3,2003,8,8,3
"1419",1419,262500,42502,4,4.5,3680,12632.4,3,2002,8,8,3
"1420",1420,134000,42517,3,2,2472,4948,3,2003,8,8,3
"1421",1421,145000,42513,3,2,1236,6721,3,2001,8,8,3
"1422",1422,154000,42476,3,3,1566,5227,3,2004,8,8,3
"1423",1423,143500,42508,3,2,2472,5188,3,2003,8,8,3
"1424",1424,150000,42465,3,2,2160,5170,3,2002,8,8,3
"1425",1425,272000,42551,5,4,3788,11325.6,3,2004,8,8,3
"1426",1426,385000,42458,5,3.5,4730,13068,3,2002,8,8,3
"1427",1427,410000,42460,5,5,4803,12196.8,3,2005,8,8,3
"1428",1428,256000,42509,5,3,3038,12632.4,3,2002,8,8,3
"1429",1429,294500,42548,5,3.5,3357,10798,3,2001,8,8,3
"1430",1430,305000,42495,4,4,2812,1600,3,1990,8,8,3
"1431",1431,174000,42489,2,2,2792,4698,3,1994,8,8,3
"1432",1432,343000,42466,5,4.5,6312,16988.4,3,1991,8,8,3
"1433",1433,350000,42472,4,3.5,4300,24829.2,3,1993,8,8,3
"1434",1434,359000,42438,5,5,5705,17859.6,3,1995,8,8,3
"1435",1435,298000,42480,4,4,5148,17859.6,3,1994,8,8,3
"1436",1436,4e+05,42503,4,5,5403,35283.6,3,1996,8,8,3
"1437",1437,127500,42482,3,1,1248,8999,3,1965,8,8,3
"1438",1438,127000,42493,3,2,1942,14810.4,3,1982,8,8,3
"1439",1439,118000,42460,4,3,3625,11761.2,3,1975,8,8,3
"1440",1440,189500,42459,4,2.5,2488,11325.6,3,1973,8,8,3
"1441",1441,133195,42536,4,3,2012,10883,3,1976,8,8,3
"1442",1442,133500,42494,4,2,2052,10079,3,1974,8,8,3
"1443",1443,115000,42454,3,2,2749,6250,3,1955,8,8,3
"1444",1444,87900,42516,2,3,1251,7248,3,1955,8,8,3
"1445",1445,409500,42516,5,4,6052,25264.8,3,1985,8,8,3
"1446",1446,229500,42499,4,3,4275,13503.6,3,1987,8,8,3
"1447",1447,215000,42482,4,4,3561,14374.8,3,1987,8,8,3
"1448",1448,167500,42499,3,4,3031,8209,3,1978,8,8,3
"1449",1449,230000,42515,4,4,3896,572378.4,3,1986,8,8,3
"1450",1450,220000,42496,4,3,2704,13068,3,1988,8,8,3
"1451",1451,152000,42482,4,2.5,1952,9301,3,1978,8,8,3
"1452",1452,243500,42472,4,2.5,3256,13068,3,1991,8,8,3
"1453",1453,183000,42524,4,4,2742,8028,3,1991,8,8,3
"1454",1454,147750,42521,3,2,1600,4647,3,1949,8,8,3
"1455",1455,159000,42481,3,3,2166,6098,3,1994,8,8,3
"1456",1456,155000,42549,3,3,2933,4508,3,2001,8,8,3
"1457",1457,160500,42473,4,2.5,2145,8276,3,1990,8,8,3
"1458",1458,255000,42559,4,2.5,3390,9021,3,1990,8,8,3
"1459",1459,149900,42545,3,1,1488,13939.2,3,1925,8,8,3
"1460",1460,205000,42473,2,3,1525,7150,3,1998,8,8,3
"1461",1461,1825000,42446,4,3.5,2812,9583,3,1996,8,8,3
"1462",1462,258000,42542,4,4,3794,14374.8,3,1988,8,8,3
"1463",1463,201000,42464,4,3,2814,11761.2,3,1991,8,8,3
"1464",1464,165000,42473,3,3,3667,34412.4,3,1961,8,8,3
"1465",1465,175000,42524,4,3,3428,9347,3,1985,8,8,3
"1466",1466,181000,42429,4,3,3120,8800,3,1988,8,8,3
"1467",1467,250000,42480,4,4,3794,8359,3,1990,8,8,3
"1468",1468,220000,42478,4,2.5,3298,9901,3,1991,8,8,3
"1469",1469,182000,42475,3,3.5,2519,8250,3,1990,8,8,3
"1470",1470,440000,42472,5,3.5,4492,14374.8,3,2005,8,8,3
"1471",1471,252500,42489,4,4,3212,14374.8,3,1999,8,8,3
"1472",1472,208000,42559,4,3,2595,9378,3,2004,8,8,3
"1473",1473,202500,42521,4,3,2426,7479,3,1999,8,8,3
"1474",1474,189000,42500,4,3.5,2572,7548,3,2004,8,8,3
"1475",1475,219500,42446,4,4,3148,7700,3,2002,8,8,3
"1476",1476,1256666,42459,3,2.5,2660,7479,3,1999,8,8,3
"1477",1477,2e+05,42464,4,2.5,2218,7936,3,2000,8,8,3
"1478",1478,214000,42517,4,2,2168,8400,3,2002,8,8,3
"1479",1479,150667,42507,3,1.5,1667,9600,3,1955,8,8,3
"1480",1480,98000,42489,3,1,943,5201,3,1955,8,8,3
"1481",1481,212000,42558,2,3,1848,5932,3,2003,8,8,3
"1482",1482,188500,42479,3,2.5,2042,11761.2,3,1976,8,8,3
"1483",1483,140000,42431,4,2.5,1974,7923,3,1975,8,8,3
"1484",1484,80000,42501,3,2,2670,7501,3,1960,8,8,3
"1485",1485,130000,42444,3,2,2090,9949,3,1975,8,8,3
"1486",1486,165000,42430,3,4,3373,14374.8,3,1977,8,8,3
"1487",1487,155000,42459,4,3,1832,10663,3,1989,8,8,3
"1488",1488,122000,42481,3,1,1594,7200,3,1955,8,8,3
"1489",1489,112500,42536,3,1,1261,8010,3,1955,8,8,3
"1490",1490,106000,42482,3,1,1728,313196.4,3,1955,8,8,3
"1491",1491,187000,42482,4,4,3668,7405,3,1998,8,8,3
"1492",1492,193000,42489,4,3,2383,7480,3,2000,8,8,3
"1493",1493,211000,42465,4,4,3182,7649,3,1997,8,8,3
"1494",1494,136000,42534,3,2,2219,9696,3,1972,8,8,3
"1495",1495,105000,42496,3,1,1056,4281,3,1999,8,8,3
"1496",1496,134500,42516,3,2.5,1648,6599,3,1989,8,8,3
"1497",1497,143500,42496,3,3,1559,6607,3,1987,8,8,3
"1498",1498,152900,42521,3,2.5,2564,7000,3,1992,8,8,3
"1499",1499,136000,42517,3,2,1866,6599,3,1988,8,8,3
"1500",1500,176000,42495,4,2.5,2598,6991,3,1987,8,8,3
"1501",1501,150100,42480,3,2,2301,9040,3,1985,8,8,3
"1502",1502,155000,42450,4,3,2630,7056,3,1985,8,8,3
"1503",1503,193000,42552,4,2.5,3484,9195,3,1987,8,8,3
"1504",1504,225000,42506,3,3.5,3054,3676,3,1999,8,8,3
"1505",1505,237900,42523,5,3.5,3694,8751,3,1999,8,8,3
"1506",1506,156667,42445,3,2.5,2040,8698,3,1992,8,8,3
"1507",1507,174500,42502,3,2,2592,6708,3,1999,8,8,3
"1508",1508,180000,42506,4,3,2564,6708,3,1999,8,8,3
"1509",1509,54000,42439,3,1,1348,42688.8,3,1959,8,8,3
"1510",1510,145000,42429,4,2,1454,10497,3,1993,8,8,3
"1511",1511,139000,42439,3,2,1269,6591,3,1994,8,8,3
"1512",1512,132500,42532,4,2,1991,6821,3,2003,8,8,3
"1513",1513,242000,42531,5,5,3860,22651.2,3,1968,8,8,3
"1514",1514,143000,42517,2,1,1450,10890,3,1958,8,8,3
"1515",1515,289000,42493,3,4,3219,16552.8,3,1966,8,8,3
"1516",1516,158000,42510,4,3,2187,11761.2,3,1975,8,8,3
"1517",1517,233500,42453,4,3,2477,11325.6,3,1962,8,8,3
"1518",1518,89000,42445,3,1,1288,8276,3,1910,8,8,3
"1519",1519,82000,42500,3,1,2116,8398,3,1910,8,8,3
"1520",1520,171000,42445,3,2,1763,10079,3,1960,8,8,3
"1521",1521,155000,42466,4,2,1990,7587,3,1893,8,8,3
"1522",1522,106500,42502,3,1,2194,7501,3,1925,8,8,3
"1523",1523,165000,42516,3,2,1862,6499,3,1925,8,8,3
"1524",1524,120000,42430,4,3,2238,6502,3,1925,8,8,3
"1525",1525,295000,42516,5,5,6690,15246,3,1907,8,8,3
"1526",1526,109500,42515,3,1,2019,17859.6,3,1925,8,8,3
"1527",1527,125000,42430,3,2,1620,7029,3,1920,8,8,3
"1528",1528,270000,42524,5,4.5,4830,17859.6,3,1997,8,8,3
"1529",1529,140500,42443,3,2,1349,6561,3,1930,8,8,3
"1530",1530,135500,42426,3,3,2081,6250,3,1918,8,8,3
"1531",1531,230000,42499,4,3.5,2500,14810.4,3,1999,8,8,3
"1532",1532,148000,42437,2,2,1772,6297,3,1926,8,8,3
"1533",1533,180000,42522,3,2,1870,8970,3,1925,8,8,3
"1534",1534,136133,42433,2,2,2038,7318,3,1940,8,8,3
"1535",1535,104000,42517,2,1,1996,6751,3,1925,8,8,3
"1536",1536,140000,42524,4,1,1871,7150,3,1927,8,8,3
"1537",1537,338000,42439,4,3,4326,13068,3,1925,8,8,3
"1538",1538,148500,42496,3,2,2569,7348,3,1925,8,8,3
"1539",1539,259000,42475,4,3,3616,7348,3,1925,8,8,3
"1540",1540,134500,42499,3,2,1747,6050,3,1925,8,8,3
"1541",1541,107000,42515,5,2,2794,4399,3,1915,8,8,3
"1542",1542,64500,42482,3,2,1168,3811,3,1910,8,8,3
"1543",1543,1e+05,42458,2,2,1700,7200,3,1910,8,8,3
"1544",1544,239000,42433,5,3,3560,11761.2,3,2003,8,8,3
"1545",1545,170000,42524,4,4,2604,7148,3,2003,8,8,3
"1546",1546,142500,42502,3,2,2154,7749,3,1942,8,8,3
"1547",1547,87000,42495,3,1,2160,2415,3,1920,8,8,3
"1548",1548,25000,42432,1,1,795,3336,3,1920,8,8,3
"1549",1549,60000,42432,3,1.5,1850,3480,3,1920,8,8,3
"1550",1550,58000,42440,2,1,784,1157,3,2002,8,8,3
"1551",1551,102000,42433,3,2,2709,5331,3,1930,8,8,3
"1552",1552,77000,42432,2,1,1169,5210,3,1920,8,8,3
"1553",1553,139000,42445,4,1.5,1857,2840,3,1998,8,8,3
"1554",1554,52000,42443,2,2,1820,5749,3,1926,8,8,3
"1555",1555,34500,42502,1,1,1220,6786,3,1905,8,8,3
"1556",1556,95000,42499,5,4,3702,6900,3,1906,8,8,3
"1557",1557,94900,42482,2,1,2621,6324,3,1920,8,8,3
"1558",1558,110000,42482,4,3,1750,4791,1,1920,8,8,1
"1559",1559,42000,42444,2,1.5,1446,2700,3,1930,8,8,3
"1560",1560,63500,42521,2,1,1193,6952,3,1900,8,8,3
"1561",1561,75000,42548,3,1,1667,5667,3,1900,8,8,3
"1562",1562,80000,42559,5,2,2337,7488,3,1905,8,8,3
"1563",1563,75000,42507,4,2,2472,5414,3,1905,8,8,3
"1564",1564,30500,42509,2,1,842,13939.2,3,1930,8,8,3
"1565",1565,40000,42489,2,1,1054,5998,3,1955,8,8,3
"1566",1566,74500,42429,3,2,1723,5174,3,1925,8,8,3
"1567",1567,31000,42430,1,1,1200,7013,3,1925,8,8,3
"1568",1568,49000,42474,2,1,1482,5980,3,1925,8,8,3
"1569",1569,116500,42460,4,2,2040,10240,3,1925,8,8,3
"1570",1570,30000,42489,2,1,738,11761.2,3,1925,8,8,3
"1571",1571,59900,42531,4,1,1552,5915,3,1925,8,8,3
"1572",1572,102000,42478,3,2,2655,12196.8,3,1905,8,8,3
"1573",1573,95000,42429,3,1,1662,5610,3,1925,8,8,3
"1574",1574,102500,42521,2,2,1883,5488,3,1953,8,8,3
"1575",1575,86000,42517,2,1,850,6930,3,1925,8,8,3
"1576",1576,124500,42521,3,2,1752,7749,3,1989,8,8,3
"1577",1577,39950,42527,2,1,1136,4944,3,1925,8,8,3
"1578",1578,75000,42517,2,1,836,8398,3,1930,8,8,3
"1579",1579,61500,42530,3,1,1900,6120,3,1968,8,8,3
"1580",1580,110000,42513,3,1.5,2184,7901,3,1961,8,8,3
"1581",1581,345000,42494,4,3.5,3737,44431.2,3,1995,8,8,3
"1582",1582,342000,42509,4,3,4380,50529.6,3,1978,8,8,3
"1583",1583,260000,42524,4,2.5,3330,29185.2,3,1993,8,8,3
"1584",1584,185000,42489,4,3,1872,43560,3,1976,8,8,3
"1585",1585,160500,42473,4,5,3878,29620.8,3,1996,8,8,3
"1586",1586,145900,42513,4,3,2000,4543,3,1999,8,8,3
"1587",1587,203750,42464,4,3,2283,3968,3,1998,8,8,3
"1588",1588,145000,42494,3,3,2480,4181,3,1998,8,8,3
"1589",1589,165000,42444,4,3,1942,5528,3,1999,8,8,3
"1590",1590,140500,42445,4,2.5,2215,4159,3,1999,8,8,3
"1591",1591,131000,42465,3,2,2448,4647,3,1998,8,8,3
"1592",1592,385000,42499,5,5,6588,26136,3,1995,8,8,3
"1593",1593,303000,42495,5,3.5,3508,30056.4,3,1999,8,8,3
"1594",1594,207500,42507,4,3,3035,23086.8,3,2000,8,8,3
"1595",1595,155000,42506,3,2,1650,19166.4,3,1966,8,8,3
"1596",1596,360000,42438,3,4,4164,252212.4,3,2000,8,8,3
"1597",1597,242500,42502,3,3,3520,3798,3,2003,8,8,3
"1598",1598,365000,42445,5,4,4040,10079,3,2006,8,8,3
"1599",1599,390000,42531,5,4,4038,12196.8,3,2006,8,8,3
"1600",1600,319500,42450,4,4,4433,12632.4,3,2006,8,8,3
"1601",1601,290000,42521,5,3.5,3650,8637,3,2008,8,8,3
"1602",1602,347000,42431,5,4,4246,10558,3,2006,8,8,3
"1603",1603,373000,42489,5,3.5,3680,10890,3,2005,8,8,3
"1604",1604,280000,42558,4,3.5,3714,10558,3,2008,8,8,3
"1605",1605,215000,42507,2,2,3176,7853,3,2007,8,8,3
"1606",1606,319000,42495,4,3,2480,9600,3,2007,8,8,3
"1607",1607,233000,42501,4,3,2572,10581,3,2007,8,8,3
"1608",1608,399000,42507,5,4,3702,11325.6,3,2007,8,8,3
"1609",1609,215500,42468,4,2.5,2344,9448,3,2003,8,8,3
